year,min_smi,min_recharge,min_runoff,min_discharge,drought_months
1991,2.6881720430107525,0.8064516129032258,0.5376344086021506,0.5376344086021506,6
1992,8.870967741935484,7.526881720430108,9.946236559139784,10.483870967741936,4
1993,16.129032258064516,6.720430107526881,9.13978494623656,9.408602150537634,1
1994,11.29032258064516,16.666666666666664,20.43010752688172,20.967741935483872,2
1995,29.301075268817208,42.74193548387097,42.473118279569896,38.97849462365591,0
1996,40.59139784946236,17.20430107526882,28.225806451612907,26.0752688172043,0
1997,19.35483870967742,6.451612903225806,6.182795698924731,5.913978494623656,1
1998,20.967741935483872,5.64516129032258,13.172043010752688,13.172043010752688,0
1999,11.559139784946236,2.6881720430107525,4.56989247311828,4.56989247311828,1
2000,12.096774193548388,8.60215053763441,10.75268817204301,9.946236559139784,1
2001,10.483870967741936,9.67741935483871,6.989247311827956,6.182795698924731,1
2002,28.49462365591398,26.344086021505376,27.956989247311824,27.688172043010752,0
2003,3.763440860215054,3.494623655913978,2.6881720430107525,2.956989247311828,6
2004,12.903225806451612,15.053763440860216,17.20430107526882,17.473118279569892,2
2005,37.096774193548384,12.365591397849462,17.741935483870968,19.892473118279568,0
2006,12.365591397849462,8.333333333333332,13.440860215053762,11.29032258064516,3
2007,23.9247311827957,14.516129032258066,17.473118279569892,15.32258064516129,0
2008,11.827956989247312,5.376344086021505,23.9247311827957,22.58064516129032,2
2009,25.268817204301076,15.591397849462366,24.731182795698924,23.9247311827957,0
2010,30.107526881720432,34.946236559139784,52.68817204301075,49.46236559139785,0
2011,31.72043010752688,3.225806451612903,6.451612903225806,5.376344086021505,0
2012,15.32258064516129,7.258064516129033,7.526881720430108,7.258064516129033,3
2013,27.419354838709676,20.161290322580644,30.913978494623656,31.182795698924732,0
2014,7.795698924731183,5.10752688172043,2.956989247311828,2.6881720430107525,4
2015,5.10752688172043,12.634408602150538,8.333333333333332,6.989247311827956,5
2016,9.408602150537634,13.172043010752688,15.591397849462366,13.709677419354838,3
2017,13.172043010752688,7.795698924731183,14.516129032258066,12.634408602150538,3
2018,0.2688172043010753,0.2688172043010753,0.2688172043010753,0.2688172043010753,7
2019,1.0752688172043012,1.0752688172043012,2.1505376344086025,2.1505376344086025,7
2020,1.6129032258064515,2.956989247311828,1.881720430107527,1.6129032258064515,7
