param_id,param_name,group,unit,recommended_value,uncertainty_1sigma,cv,recommendation,note
1,param_01,Unknown,-,0.3289911277522802,0.041977609491543534,0.12759495910525384,GLOBAL_WITH_UNCERTAINTY,CV=0.128
2,param_02,Unknown,-,,0.7361233032882124,0.8257326176713571,CATCHMENT_SPECIFIC,CV=0.826
3,param_03,Unknown,-,3.2912865047868656,0.46324149262228964,0.14074784797633041,GLOBAL_WITH_UNCERTAINTY,CV=0.141
4,param_04,Unknown,-,,0.2226700611057836,0.3414072171047542,CATCHMENT_SPECIFIC,CV=0.341
5,param_05,Unknown,-,,0.5152994952005935,0.6366379827634818,CATCHMENT_SPECIFIC,CV=0.637
6,param_06,Unknown,-,0.8129757363042843,0.08285501180202162,0.10191572528188007,GLOBAL_WITH_UNCERTAINTY,CV=0.102
7,param_07,Unknown,-,5.781160600152174,1.5983404738433324,0.2764739789102659,GLOBAL_WITH_UNCERTAINTY,CV=0.276
8,param_08,Unknown,-,,1.6810757204602949,0.5898680872871805,CATCHMENT_SPECIFIC,CV=0.590
9,param_09,Unknown,-,,1.2355425860713598,0.39813524233027187,CATCHMENT_SPECIFIC,CV=0.398
10,param_10,Unknown,-,,5.8765349841751915,0.498826998761707,CATCHMENT_SPECIFIC,CV=0.499
11,param_11,Unknown,-,,0.11245417537244103,0.47479694798471694,CATCHMENT_SPECIFIC,CV=0.475
12,param_12,Unknown,-,,0.6929400880505066,0.6390669879183912,CATCHMENT_SPECIFIC,CV=0.639
13,param_13,Unknown,-,0.827960896883403,0.07030571628690904,0.08491429553201447,GLOBAL,CV=0.085
14,param_14,Unknown,-,,0.0006708003448494874,0.4117220730679463,CATCHMENT_SPECIFIC,CV=0.412
15,param_15,Unknown,-,-0.3205983165854689,0.03226485335915594,-0.10063949712148408,GLOBAL,CV=-0.101
16,param_16,Unknown,-,0.6716973671285068,0.07993208869148415,0.11900015185885315,GLOBAL_WITH_UNCERTAINTY,CV=0.119
17,param_17,Unknown,-,-0.003640119567619285,0.0018884928258339642,-0.5187996687342549,GLOBAL,CV=-0.519
18,param_18,Unknown,-,-0.4701862532151386,0.04984194517587579,-0.10600468396312321,GLOBAL,CV=-0.106
19,param_19,Unknown,-,-0.6714863406263376,0.1552328375193826,-0.23117795274076186,GLOBAL,CV=-0.231
20,param_20,Unknown,-,,0.0027984771195913075,0.3282945879327129,CATCHMENT_SPECIFIC,CV=0.328
21,param_21,Unknown,-,0.006650334685182665,0.0015773853035530839,0.23718886014377452,GLOBAL_WITH_UNCERTAINTY,CV=0.237
22,param_22,Unknown,-,60.96,0.0,0.0,GLOBAL,CV=0.000
23,param_23,Unknown,-,0.9646995217802815,0.02211046578524416,0.022919536380033582,GLOBAL,CV=0.023
24,param_24,Unknown,-,0.9368612236121124,0.009920516896684205,0.010589099694440534,GLOBAL,CV=0.011
25,param_25,Unknown,-,,0.0082070199594127,0.5838308376629722,CATCHMENT_SPECIFIC,CV=0.584
26,param_26,Unknown,-,2.205214887199836,0.6595422863283673,0.299083001006695,GLOBAL_WITH_UNCERTAINTY,CV=0.299
27,param_27,Unknown,-,,1.7309034782952133,0.5148339984861245,CATCHMENT_SPECIFIC,CV=0.515
28,param_28,Unknown,-,1.0540251942784742,0.13677042760141117,0.12976011232353554,GLOBAL_WITH_UNCERTAINTY,CV=0.130
29,param_29,Unknown,-,,0.05033698132350528,0.5685077979973531,CATCHMENT_SPECIFIC,CV=0.569
30,param_30,Unknown,-,179.00666302840068,7.507060865592508,0.04193732645807413,GLOBAL,CV=0.042
31,param_31,Unknown,-,129.73236079751308,37.003981815197186,0.28523324163470043,GLOBAL_WITH_UNCERTAINTY,CV=0.285
32,param_32,Unknown,-,6.000394473279549,1.1657100792203574,0.19427224066874257,GLOBAL_WITH_UNCERTAINTY,CV=0.194
33,param_33,Unknown,-,,0.6757866818667784,0.36490921047616875,CATCHMENT_SPECIFIC,CV=0.365
34,param_34,Unknown,-,,4.308348414061844,0.41850136161240886,CATCHMENT_SPECIFIC,CV=0.419
35,param_35,Unknown,-,0.11695282919092827,0.026249309332126585,0.22444355996958368,GLOBAL_WITH_UNCERTAINTY,CV=0.224
36,param_36,Unknown,-,,10.238118426454053,0.45610182792900245,CATCHMENT_SPECIFIC,CV=0.456
37,param_37,Unknown,-,,2.4368044344741824,1.7365881412125193,CATCHMENT_SPECIFIC,CV=1.737
38,param_38,Unknown,-,1.0,0.0,0.0,GLOBAL,CV=0.000
39,param_39,Unknown,-,30.0,0.0,0.0,GLOBAL,CV=0.000
40,param_40,Unknown,-,100.0,0.0,0.0,GLOBAL,CV=0.000
41,param_41,Unknown,-,,269.87380554180373,1.1176406511054844,CATCHMENT_SPECIFIC,CV=1.118
42,param_42,Unknown,-,353.89157231158515,48.57792327686517,0.13726781612672753,GLOBAL_WITH_UNCERTAINTY,CV=0.137
43,param_43,Unknown,-,,56.317599583264006,0.6510633383103329,CATCHMENT_SPECIFIC,CV=0.651
44,param_44,Unknown,-,100.0,0.0,0.0,GLOBAL,CV=0.000
45,param_45,Unknown,-,100.0,0.0,0.0,GLOBAL,CV=0.000
46,param_46,Unknown,-,100.0,0.0,0.0,GLOBAL,CV=0.000
47,param_47,Unknown,-,100.0,0.0,0.0,GLOBAL,CV=0.000
48,param_48,Unknown,-,,161.7397154103097,0.5661105403408658,CATCHMENT_SPECIFIC,CV=0.566
49,param_49,Unknown,-,100.0,0.0,0.0,GLOBAL,CV=0.000
50,param_50,Unknown,-,100.0,0.0,0.0,GLOBAL,CV=0.000
51,param_51,Unknown,-,100.0,0.0,0.0,GLOBAL,CV=0.000
52,param_52,Unknown,-,,214.19635538951619,0.5639453453357928,CATCHMENT_SPECIFIC,CV=0.564
53,param_53,Unknown,-,100.0,0.0,0.0,GLOBAL,CV=0.000
54,param_54,Unknown,-,100.0,0.0,0.0,GLOBAL,CV=0.000
